iter	Logloss
0	0.6008380335
1	0.5391241146
2	0.501480772
3	0.4684610954
4	0.446892109
5	0.4316844005
6	0.4188784641
7	0.4094017158
8	0.4003764088
9	0.3935378895
10	0.3889158798
11	0.3842225386
12	0.3804114819
13	0.3761886262
14	0.3725895135
15	0.3696313522
16	0.3671042107
17	0.3640824953
18	0.3624186044
19	0.3609180289
20	0.3582107807
21	0.3568270221
22	0.3549637814
23	0.3532766802
24	0.3510724904
25	0.3499987542
26	0.3482778564
27	0.347432117
28	0.3462654237
29	0.3452850453
30	0.3441989871
31	0.3429429964
32	0.3420400816
33	0.340516017
34	0.3393922355
35	0.3386554105
36	0.3382109244
37	0.3371277399
38	0.3360793899
39	0.3351243304
40	0.3346074489
41	0.3340353958
42	0.3332959296
43	0.3330935794
44	0.3325268638
45	0.3319063377
46	0.3311850222
47	0.3306148909
48	0.3297573192
49	0.3291862158
50	0.3287741722
51	0.3283398405
52	0.3280536229
53	0.3276294831
54	0.3265083953
55	0.3261132621
56	0.3252661448
57	0.3245890584
58	0.3236407973
59	0.323192884
60	0.322768955
61	0.3223966777
62	0.3220879896
63	0.3217645159
64	0.3214754541
65	0.3211449102
66	0.3206867417
67	0.3202721042
68	0.3197021985
69	0.3194462426
70	0.3191122832
71	0.3184980133
72	0.3180243726
73	0.3178125786
74	0.3175233099
75	0.3172475909
76	0.3167975032
77	0.3166528751
78	0.3162481859
79	0.3158823567
80	0.3157111103
81	0.3151108155
82	0.3148754371
83	0.3146792405
84	0.3141479651
85	0.3137995736
86	0.313437411
87	0.3132139354
88	0.3126787137
89	0.3123216043
90	0.3120340635
91	0.3116113891
92	0.3112314019
93	0.3109783831
94	0.3108489167
95	0.3105837448
96	0.310306687
97	0.3097647359
98	0.3094096362
99	0.3091783574
100	0.3088407552
101	0.3085835577
102	0.3083440445
103	0.3080258086
104	0.3076070928
105	0.3072588043
106	0.3070305
107	0.3068740128
108	0.3066104745
109	0.3063819158
110	0.3061217824
111	0.3058726128
112	0.3057153716
113	0.3055784485
114	0.3054441991
115	0.3051970287
116	0.3049156625
117	0.3047373626
118	0.3044698198
119	0.3039985943
120	0.3037165488
121	0.3033038802
122	0.3030950583
123	0.3028183267
124	0.3024402862
125	0.3020728905
126	0.3017332092
127	0.3014867453
128	0.301267618
129	0.3007278025
130	0.3004588962
131	0.3002274423
132	0.2999889557
133	0.2998133557
134	0.2995929364
135	0.2992707083
136	0.2989471295
137	0.298670395
138	0.2984431953
139	0.2981335431
140	0.2978454209
141	0.2976301826
142	0.2972897702
143	0.297127418
144	0.2969059032
145	0.2965937357
146	0.2964022754
147	0.2962133474
148	0.2960337073
149	0.2958089148
150	0.2956304037
151	0.2952788097
152	0.2950982522
153	0.2949017882
154	0.2945981256
155	0.2943541943
156	0.2939897099
157	0.2937920841
158	0.2935842802
159	0.293379886
160	0.2931242273
161	0.2929073282
162	0.2926417359
163	0.2924625573
164	0.2922345094
165	0.2920607167
166	0.2919092577
167	0.2917650199
168	0.2915378829
169	0.2913130424
170	0.2911745373
171	0.2910478966
172	0.29088982
173	0.2907638326
174	0.2905278011
175	0.290347609
176	0.2901645092
177	0.2899381491
178	0.2897631047
179	0.2895339545
180	0.289342234
181	0.2892064857
182	0.2889272288
183	0.2885958803
184	0.2883894565
185	0.2881928198
186	0.2880834033
187	0.2879625182
188	0.2878195547
189	0.2876786857
190	0.2874507492
191	0.2871634202
192	0.2870495002
193	0.2868721935
194	0.286736735
195	0.2865861321
196	0.2863615014
197	0.2862434851
198	0.2860756922
199	0.2858583949
200	0.2857193704
201	0.2854943101
202	0.2853921179
203	0.2852173344
204	0.2850252084
205	0.2847836786
206	0.2844880985
207	0.2843207924
208	0.2841574322
209	0.2840050757
210	0.2838729013
211	0.283715465
212	0.2834987106
213	0.2833484788
214	0.2831881582
215	0.2830174695
216	0.2829123252
217	0.282754303
218	0.282614495
219	0.2824771001
220	0.2823103892
221	0.282143337
222	0.2819725654
223	0.2818203335
224	0.281694321
225	0.281461335
226	0.281292036
227	0.2811767513
228	0.2809977773
229	0.2808176478
230	0.2806025716
231	0.2803987843
232	0.2803028212
233	0.2802007565
234	0.2800724397
235	0.2799310235
236	0.2797328725
237	0.2795360989
238	0.279416631
239	0.2792220803
240	0.2791159348
241	0.2789508651
242	0.2788153453
243	0.2787280851
244	0.2785595755
245	0.2784287785
246	0.2783032233
247	0.2781106724
248	0.2779989634
249	0.2778671537
250	0.277778367
251	0.2775670425
252	0.2774383427
253	0.2772596545
254	0.2771002007
255	0.2769560752
256	0.2767812686
257	0.2767212219
258	0.2765577618
259	0.2764269865
260	0.2762704957
261	0.276097109
262	0.2759892514
263	0.2757466976
264	0.2755584235
265	0.2754099738
266	0.2753201282
267	0.2752057974
268	0.2751154014
269	0.2749620543
270	0.2748401059
271	0.27464416
272	0.2745241576
273	0.2743919293
274	0.2742852281
275	0.2741837976
276	0.274045225
277	0.2739187323
278	0.273769869
279	0.2737008421
280	0.2735647706
281	0.273434053
282	0.2733341024
283	0.2732404611
284	0.2731232257
285	0.2729690851
286	0.272788701
287	0.2726635754
288	0.2725602253
289	0.272488681
290	0.2723058307
291	0.2721922738
292	0.2720648876
293	0.2719622625
294	0.2718374229
295	0.2716819234
296	0.2715526623
297	0.2714148435
298	0.2712764343
299	0.2710956625
